ID,londdist,International,local,pagamento,tipo_fatura,plano,idade,sexo,estado_civil,n_filhos,salario,carro,churn
0,5.246,7.515,86.328,conta_corrente,boleto,padrao,57,F,M,2,27535.3,Y,Vol
3,0.000,0.000,3.942,cartao_credito,via_email,desconto internacional,50,F,S,2,64632.3,N,InVol
4,5.556,0.000,9.363,cartao_credito,via_email,desconto internacional,68,F,M,2,81000.9,N,Vol
8,14.019,5.680,29.807,cartao_credito,via_email,padrao,34,M,S,0,87467.1,Y,atuais
10,13.664,2.956,32.638,cartao_credito,boleto,desconto internacional,60,M,M,2,83220.6,N,Vol
11,0.000,0.000,1.413,cartao_credito,boleto,padrao,84,F,S,0,50290.7,N,InVol
13,0.281,0.000,8.537,conta_corrente,via_email,desconto internacional,28,F,M,2,20850.4,N,Vol
17,1.577,0.000,19.981,cartao_credito,boleto,padrao,52,M,S,0,84112.6,N,Current
19,11.031,0.000,34.278,cartao_credito,via_email,padrao,87,F,S,2,3776.12,N,Vol
20,0.453,0.000,73.012,debito em conta,boleto,padrao,88,F,M,2,73865.9,Y,Vol
22,3.729,0.000,18.847,debito em conta,boleto,padrao,76,M,M,2,30933.6,Y,Current
23,20.295,0.000,76.052,cartao_credito,boleto,padrao,76,F,M,1,12309.6,N,Vol
26,10.370,2.153,24.668,conta_corrente,boleto,padrao,87,M,S,0,69864,N,Vol
28,20.269,0.000,102.864,conta_corrente,via_email,desconto internacional,90,F,M,0,91620.6,N,Current
30,25.528,0.747,5.186,cartao_credito,via_email,padrao,62,M,S,0,96501.9,Y,Current
31,26.495,0.000,31.085,cartao_credito,boleto,desconto internacional,81,M,S,1,3968.54,N,Current
32,8.082,0.000,10.586,conta_corrente,via_email,padrao,50,F,M,2,13774.2,N,Vol
33,2.946,0.261,77.238,conta_corrente,boleto,padrao,48,M,S,2,39428.2,N,Current
40,24.346,0.000,62.826,cartao_credito,via_email,padrao,37,F,S,2,4988.14,N,Current
42,8.865,4.437,43.644,conta_corrente,via_email,desconto internacional,55,M,S,2,85753.8,N,Vol
49,26.862,0.000,15.492,cartao_credito,boleto,desconto internacional,21,M,M,2,23564.1,N,Vol
55,17.209,8.942,138.045,cartao_credito,boleto,desconto internacional,42,M,S,0,37661,N,Current
59,24.578,0.000,80.747,debito em conta,boleto,padrao,71,M,M,2,99064,N,Current
64,21.502,0.000,47.220,cartao_credito,boleto,padrao,94,F,M,0,87251.8,Y,Vol
65,9.703,1.203,12.182,cartao_credito,via_email,padrao,33,F,M,0,2974.76,Y,Vol
69,0.000,0.000,4.620,cartao_credito,boleto,padrao,21,M,S,0,23893.9,N,InVol
71,0.000,0.000,2.362,cartao_credito,via_email,padrao,81,M,M,0,23289.7,N,InVol
72,27.332,0.000,23.860,debito em conta,boleto,desconto internacional,86,F,S,2,92885.9,N,Current
73,6.671,0.000,77.252,debito em conta,boleto,padrao,54,M,M,2,11676.2,N,Current
78,13.644,0.000,19.546,debito em conta,boleto,padrao,19,F,M,0,27842.1,N,Vol
80,20.569,3.274,23.342,cartao_credito,via_email,padrao,18,F,M,1,9925.68,N,Vol
83,0.000,0.000,0.353,cartao_credito,via_email,padrao,63,M,M,1,9049.57,N,InVol
84,12.290,7.800,47.458,cartao_credito,via_email,padrao,75,M,M,2,17562.9,Y,Current
89,17.413,0.000,28.130,cartao_credito,via_email,padrao,62,M,M,0,50676,N,Current
92,4.719,0.000,57.775,debito em conta,boleto,padrao,23,F,S,2,8383.47,Y,Vol
96,2.648,0.000,24.755,cartao_credito,via_email,padrao,57,M,M,0,28128.4,N,Current
100,21.912,6.708,27.003,cartao_credito,via_email,desconto internacional,52,M,S,0,88413.4,Y,Vol
101,2.422,9.187,41.166,conta_corrente,via_email,desconto internacional,48,M,S,0,81420,N,Vol
102,16.069,1.536,130.352,cartao_credito,via_email,padrao,77,F,M,2,37155,Y,Vol
104,8.758,0.000,112.637,cartao_credito,via_email,desconto internacional,61,M,M,1,85927.7,N,Current
116,1.876,0.000,50.857,cartao_credito,via_email,padrao,25,F,M,0,38950.5,N,Vol
117,18.324,5.678,31.279,cartao_credito,boleto,padrao,56,M,S,0,44143.1,N,Vol
122,17.788,0.000,15.661,cartao_credito,via_email,padrao,45,M,M,1,39378.9,N,Current
125,1.134,4.697,57.623,debito em conta,via_email,padrao,59,F,S,1,69454.6,Y,Vol
130,0.000,0.000,1.066,cartao_credito,boleto,padrao,78,F,S,2,74392.1,N,Current
137,19.191,3.618,72.745,cartao_credito,via_email,padrao,21,F,M,2,75323.4,N,Current
144,11.271,0.000,52.739,cartao_credito,via_email,padrao,62,M,M,2,94092.6,N,Current
145,17.847,8.795,12.613,cartao_credito,boleto,padrao,32,M,S,1,63769.7,Y,Vol
149,8.622,0.000,8.490,conta_corrente,via_email,padrao,43,M,M,0,33935.8,Y,Current
154,17.624,6.413,116.805,cartao_credito,boleto,padrao,32,F,M,2,18913.2,N,Vol
155,0.746,2.932,18.903,cartao_credito,boleto,padrao,20,M,M,1,99398.1,N,Vol
158,0.000,0.000,0.722,conta_corrente,boleto,padrao,67,F,M,0,87765.2,N,InVol
160,4.955,0.000,30.898,conta_corrente,boleto,padrao,83,F,S,1,96112.1,Y,Vol
170,0.000,0.000,3.092,debito em conta,boleto,desconto internacional,46,F,M,0,46734.5,N,Vol
172,21.825,0.000,69.004,cartao_credito,boleto,padrao,66,M,S,0,80025.3,Y,Current
173,8.494,0.000,50.034,debito em conta,via_email,padrao,42,F,S,2,49776.2,Y,Vol
174,11.064,0.000,40.822,cartao_credito,via_email,padrao,27,M,S,2,4335.86,N,Vol
177,16.461,0.000,57.657,cartao_credito,boleto,desconto internacional,93,F,S,0,74912.1,Y,Vol
178,0.000,0.000,3.823,cartao_credito,boleto,desconto internacional,19,F,S,1,44566.6,Y,InVol
179,20.700,0.000,20.056,cartao_credito,via_email,padrao,93,M,M,1,25949,N,Current
180,26.672,0.000,71.983,cartao_credito,via_email,padrao,73,F,M,0,76660.7,N,Current
181,14.466,0.000,69.296,cartao_credito,boleto,padrao,48,M,M,0,58764.7,Y,Current
187,7.665,0.000,83.078,debito em conta,boleto,padrao,47,M,M,2,90070.5,N,Current
188,25.306,0.000,51.616,cartao_credito,via_email,desconto internacional,94,F,M,2,38925.5,N,Current
195,5.022,0.000,29.805,cartao_credito,via_email,padrao,20,M,S,2,9431.04,N,Vol
197,21.403,0.000,14.449,conta_corrente,via_email,padrao,32,M,M,0,38038.7,Y,Current
198,4.996,0.682,56.110,cartao_credito,via_email,desconto internacional,19,F,S,0,50290.7,N,Vol
199,24.053,0.000,17.698,conta_corrente,boleto,padrao,78,F,S,1,88990.6,Y,Vol
201,22.900,0.000,22.705,conta_corrente,via_email,desconto internacional,36,F,M,1,5283.2,N,Current
202,18.885,0.000,96.298,conta_corrente,boleto,padrao,79,M,M,1,37571.1,N,Current
206,5.357,0.000,27.143,cartao_credito,via_email,padrao,23,F,M,1,22767,Y,Vol
208,8.713,0.000,45.641,conta_corrente,boleto,padrao,79,M,M,0,61985.6,N,Current
216,14.705,0.000,42.141,cartao_credito,boleto,desconto internacional,27,M,M,1,23234.8,N,Current
217,21.189,0.000,30.472,cartao_credito,boleto,padrao,81,M,M,2,20759.9,N,Current
218,2.742,0.000,180.967,cartao_credito,via_email,padrao,54,M,M,2,93476.6,Y,Current
222,12.931,0.000,137.136,cartao_credito,boleto,desconto internacional,29,M,M,0,20315.4,Y,Current
229,3.744,0.000,15.129,cartao_credito,via_email,padrao,68,M,M,0,55059.2,N,Current
230,4.022,0.000,13.641,cartao_credito,boleto,padrao,64,M,M,1,92298,N,Current
242,0.000,0.000,3.207,debito em conta,boleto,padrao,77,M,S,2,20965.3,N,InVol
244,24.656,0.000,38.239,cartao_credito,via_email,padrao,69,M,M,2,64113.6,Y,Current
245,8.646,0.000,67.417,cartao_credito,via_email,desconto internacional,40,M,S,0,57482.7,Y,Current
250,18.187,0.000,19.460,debito em conta,boleto,desconto internacional,81,F,M,1,77622.9,N,Vol
252,24.960,0.000,82.895,cartao_credito,boleto,desconto internacional,71,F,S,1,61302,N,Current
253,5.193,0.000,30.000,cartao_credito,boleto,padrao,90,F,M,1,41416.8,N,Vol
255,18.811,0.000,86.989,debito em conta,via_email,padrao,42,F,S,1,14740.1,N,Vol
257,17.345,0.000,95.973,cartao_credito,via_email,desconto internacional,93,F,M,1,20013.2,Y,Current
258,10.885,0.000,26.754,conta_corrente,boleto,padrao,58,M,M,0,88811,N,Current
259,11.355,0.000,13.460,cartao_credito,boleto,padrao,43,F,S,2,77293,N,Vol
260,21.474,0.000,7.812,debito em conta,via_email,desconto internacional,23,F,M,2,70032.2,N,Current
263,12.506,0.000,68.023,cartao_credito,boleto,padrao,84,M,M,0,88164,N,Current
268,0.000,0.000,0.720,cartao_credito,via_email,padrao,94,F,M,1,35940.6,N,InVol
280,0.000,0.000,2.640,debito em conta,via_email,padrao,93,F,M,1,50290.7,N,InVol
282,12.634,0.000,37.345,cartao_credito,via_email,padrao,81,M,S,0,44073.5,N,Current
285,3.258,0.000,10.074,cartao_credito,boleto,padrao,72,M,S,1,95182.1,N,Current
286,25.226,0.000,45.862,cartao_credito,boleto,desconto internacional,70,M,M,2,52921,N,Current
287,16.782,3.517,12.940,cartao_credito,boleto,padrao,54,F,M,1,27376,N,Vol
289,28.242,0.000,139.125,cartao_credito,via_email,padrao,91,F,S,0,48262.4,N,Vol
295,20.928,0.000,30.528,cartao_credito,via_email,padrao,50,F,M,2,59078,Y,Current
302,13.450,3.770,15.896,cartao_credito,boleto,desconto internacional,67,F,S,0,79727,N,Vol
307,29.067,0.000,23.002,cartao_credito,via_email,padrao,32,F,S,2,5108.57,N,Current
309,23.111,0.000,87.006,conta_corrente,boleto,padrao,34,F,M,2,94024.1,N,Current
310,18.741,0.000,113.109,cartao_credito,via_email,padrao,62,M,S,1,11359.6,N,Current
311,7.059,0.000,20.352,conta_corrente,via_email,padrao,49,M,S,0,60282.8,N,Current
315,11.974,0.000,30.629,debito em conta,via_email,desconto internacional,61,M,M,0,95132.7,N,Current
316,27.960,0.000,87.156,cartao_credito,via_email,desconto internacional,39,F,M,1,85980.9,N,Current
317,23.821,0.000,24.717,conta_corrente,via_email,desconto internacional,83,F,M,0,67042,N,Current
318,0.000,0.000,2.348,cartao_credito,boleto,desconto internacional,28,M,M,0,99563.1,N,InVol
321,6.204,0.000,41.749,debito em conta,boleto,padrao,52,F,M,1,24943,Y,Vol
